Session ID,UserID,ShowID,Datestamp,,,
SE140,9206821,s5104,2022-09-12,,,
SE141,8125113,s3578,2023-03-05,,,
SE142,9257138,s4777,2023-04-20,,,
SE143,1495958,s6900,2023-01-16,,,
SE144,5515192,s4168,2022-10-24,,,
SE145,763124,s701,2022-04-11,,,
SE146,5197959,s1619,2023-04-19,,,
SE147,1811698,s6467,2022-10-21,,,
SE148,733033,s8673,2022-10-19,,,
SE149,8245970,s4817,2023-04-11,,,
SE150,1185578,s5632,2023-02-23,,,
SE151,8134149,s2653,2023-04-03,,,
SE152,936986,s1164,2023-01-03,,,
SE153,6678625,s2335,2023-02-26,,,
SE154,2998426,s6292,2023-04-01,,,
SE155,4000849,s6771,2022-08-23,,,
SE156,3640830,s3196,2023-04-03,,,
SE157,1820866,s4901,2020-12-12,,,
SE158,7634707,s4586,2023-03-21,,,
SE159,6941225,s5985,2019-11-03,,,
SE160,5686964,s3567,2023-02-23,,,
SE161,8154673,s581,2023-04-20,,,
SE162,7046083,s3705,2023-04-19,,,
SE163,2297414,s6572,2023-03-15,,,
SE164,5600461,s136,2022-06-09,,,
SE165,7613663,s2375,2023-03-14,,,
SE166,6478876,s4989,2018-07-24,,,
SE167,5516094,s2529,2023-04-18,,,
SE168,6296344,s6119,2023-03-11,,,
SE169,9188723,s6888,2023-03-29,,,
SE170,9573369,s4244,2023-02-19,,,
SE171,7620666,s1051,2022-01-21,,,
SE172,7987131,s2273,2023-04-11,,,
SE173,9072809,s8665,2023-03-13,,,
SE174,9045224,s5301,2023-03-04,,,
SE175,5764956,s7375,2023-03-01,,,
SE176,8865159,s6918,2020-10-04,,,
SE177,2362384,s4660,2019-10-06,,,
SE178,8746103,s5194,2022-01-03,,,
SE179,9179815,s3577,2023-02-27,,,
SE180,3804921,s8441,2023-03-26,,,
SE181,2270063,s3274,2021-11-02,,,
SE182,3538507,s6261,2023-04-06,,,
SE183,8420324,s2224,2022-04-26,,,
SE184,9604508,s6551,2021-12-29,,,
SE185,4531729,s234,2021-05-01,,,
SE186,9400574,s4723,2023-04-20,,,
SE187,2587833,s4825,2020-06-17,,,
SE188,585920,s2944,2023-01-14,,,
SE189,4636949,s7388,2021-05-11,,,
SE190,7211877,s2128,2023-04-15,,,
SE191,8979443,s5749,2023-04-18,,,
SE192,4462728,s446,2023-04-11,,,
SE193,7806857,s6373,2023-04-09,,,
SE194,4569402,s8604,2022-08-13,,,
SE195,6177921,s959,2023-04-18,,,
SE196,5009904,s6232,2023-03-29,,,
SE197,4936529,s1916,2023-04-16,,,
SE198,9912490,s2342,2021-09-08,,,
SE199,7098071,s2389,2020-09-13,,,
SE200,9189266,s8581,2023-02-24,,,
SE201,3446217,s4041,2023-03-26,,,
SE202,4671122,s7055,2023-04-01,,,
SE203,1744414,s587,2023-03-31,,,
SE204,6059089,s5889,2022-04-24,,,
SE205,2470262,s4966,2023-03-03,,,
SE206,9040492,s3058,2022-12-19,,,
SE207,8355176,s1713,2023-04-20,,,
SE208,9500587,s8520,2021-08-31,,,
SE209,1841099,s346,2021-12-18,,,
SE210,2639528,s1048,2023-04-14,,,
SE211,9054607,s2965,2022-09-29,,,
SE212,1107536,s5481,2023-04-20,,,
SE213,1966633,s2643,2023-03-28,,,
SE214,5990503,s7938,2022-11-04,,,
SE215,1007422,s3570,2022-06-03,,,
SE216,4681150,s3065,2023-04-08,,,
SE217,7600492,s1744,2023-02-17,,,
SE218,7772600,s3073,2023-02-21,,,
SE219,9003434,s4991,2019-07-30,,,
SE220,4097598,s6216,2022-11-04,,,
SE221,5496046,s2494,2023-03-07,,,
SE222,5987658,s6536,2022-04-04,,,
SE223,6302079,s1435,2023-04-20,,,
SE224,5968803,s148,2023-04-19,,,
SE225,9734573,s6297,2023-03-26,,,
SE226,8446431,s4394,2023-02-14,,,
SE227,2949613,s7429,2023-02-08,,,
SE228,3928186,s7202,2023-03-02,,,
SE229,3320350,s4006,2023-03-18,,,
SE230,352881,s2874,2023-04-13,,,
SE231,3845261,s2663,2022-10-10,,,
SE232,6259478,s6221,2023-03-10,,,
SE233,1465986,s6049,2023-04-02,,,
SE234,1935762,s905,2023-04-16,,,
SE235,3699108,s2796,2022-05-04,,,
SE236,3545233,s7552,2018-09-10,,,
SE237,4942505,s5505,2021-10-27,,,
SE238,7924323,s6464,2022-03-15,,,
SE239,3307014,s1480,2021-05-31,,,
SE240,9040492,s4727,2022-12-01,,,
SE241,9369368,s6999,2021-11-08,,,
SE242,2905668,s8689,2021-12-17,,,
SE243,8045011,s1294,2023-04-20,,,
SE244,9167451,s2251,2020-12-23,,,
SE245,3525238,s4201,2022-04-18,,,
SE246,2658241,s5261,2020-05-25,,,
SE247,9154955,s6853,2022-07-12,,,
SE248,4401228,s1722,2023-04-17,,,
SE249,918982,s4129,2021-06-13,,,
SE250,8731262,s341,2020-11-21,,,
SE251,1699229,s4120,2021-10-08,,,
SE252,5860979,s879,2017-10-17,,,
SE253,8957486,s657,2023-04-19,,,
SE254,2491195,s4202,2022-10-24,,,
SE255,9633961,s6738,2020-12-09,,,
SE256,4999708,s6322,2023-04-06,,,
SE257,5355379,s3903,2022-12-03,,,
SE258,3203751,s7515,2022-01-31,,,
SE259,6540264,s8077,2023-02-03,,,
SE260,5335788,s5281,2023-02-24,,,
SE261,4128799,s8022,2023-01-12,,,
SE262,2908675,s1885,2023-04-12,,,
SE263,109234,s5195,2019-12-16,,,
SE264,8579069,s4648,2023-01-09,,,
SE265,2872565,s7687,2023-03-18,,,
SE266,1659694,s7540,2023-04-18,,,
SE267,8748884,s4323,2019-11-24,,,
SE268,3656865,s3691,2023-04-06,,,
SE269,3804915,s5494,2023-03-21,,,
SE270,183410,s2883,2022-05-16,,,
SE271,588530,s4689,2023-02-20,,,
SE272,9133383,s1507,2023-04-13,,,
SE273,9644123,s182,2023-04-02,,,
SE274,6307530,s6942,2021-07-21,,,
SE275,9032823,s4474,2023-04-20,,,
SE276,4447217,s9,2023-04-14,,,
SE277,3461777,s2982,2022-12-05,,,
SE278,9193231,s3392,2022-08-24,,,
SE279,5417534,s390,2023-02-13,,,
SE280,1841824,s3804,2023-03-02,,,
SE281,5175890,s7083,2023-04-18,,,
SE282,4526976,s2246,2023-04-07,,,
SE283,8055063,s3340,2021-05-24,,,
SE284,9061166,s6744,2023-02-27,,,
SE285,2064301,s5704,2023-03-12,,,
SE286,3446217,s1855,2023-03-12,,,
SE287,3203751,s7023,2022-05-19,,,
SE288,2390907,s7,2022-11-06,,,
SE289,1330486,s318,2023-04-16,,,
SE290,3625875,s2438,2023-03-28,,,
SE291,1111490,s1213,2021-03-15,,,
SE292,287910,s2115,2023-03-12,,,
SE293,9097402,s3680,2023-04-14,,,
SE294,3459444,s1647,2021-03-11,,,
SE295,9432839,s1688,2023-02-19,,,
SE296,3452087,s3067,2023-02-06,,,
SE297,7354274,s8315,2023-04-12,,,
SE298,687992,s3089,2023-02-07,,,
SE299,7466439,s1686,2023-04-10,,,
SE300,9509112,s7735,2019-02-04,,,
SE301,7710367,s4922,2019-08-19,,,
SE302,7896266,s5118,2023-01-08,,,
SE303,111849,s3376,2023-01-14,,,
SE304,6290114,s5139,2023-03-10,,,
SE305,6906188,s268,2023-04-10,,,
SE306,5711267,s2026,2023-03-21,,,
SE307,4952908,s3308,2021-04-12,,,
SE308,2283987,s6974,2021-09-13,,,
SE309,6745757,s7890,2023-04-20,,,
SE310,2402204,s4115,2019-11-09,,,
SE311,5197959,s4799,2023-03-19,,,
SE312,3587102,s5461,2019-09-11,,,
SE313,7976210,s8625,2023-03-08,,,
SE314,6939957,s2981,2023-04-14,,,
SE315,9756388,s6123,2023-04-10,,,
SE316,6072058,s6150,2021-10-08,,,
SE317,8002183,s2482,2023-04-10,,,
SE318,1591366,s3953,2023-04-14,,,
SE319,3897727,s3582,2023-04-09,,,
SE320,5649940,s1273,2023-01-16,,,
SE321,6701899,s6342,2020-06-08,,,
SE322,8466721,s5855,2023-01-30,,,
SE323,1058844,s8301,2021-02-16,,,
SE324,7026946,s1079,2022-09-18,,,
SE325,8315938,s1626,2023-02-08,,,
SE326,8830001,s8799,2022-11-01,,,
SE327,9088891,s965,2022-02-20,,,
SE328,9292624,s1949,2022-02-13,,,
SE329,2977922,s7313,2023-03-26,,,
SE330,8919818,s8232,2023-03-15,,,
SE331,7432809,s2753,2023-04-19,,,
SE332,7619274,s2826,2023-04-04,,,
SE333,7419482,s5791,2023-04-06,,,
SE334,601913,s3748,2023-04-04,,,
SE335,5143386,s8338,2018-08-12,,,
SE336,7298378,s4191,2023-03-27,,,
SE337,1220708,s5406,2020-11-12,,,
SE338,5409182,s5527,2023-02-16,,,
SE339,6605886,s1772,2023-04-15,,,
SE340,5046273,s8614,2022-09-10,,,
SE341,544732,s7804,2021-04-16,,,
SE342,6377568,s3908,2023-03-14,,,
SE343,8276373,s5733,2022-10-09,,,
SE344,8946183,s1057,2022-10-06,,,
SE345,9854204,s7757,2022-05-19,,,
SE346,5060096,s310,2023-03-08,,,
SE347,8349651,s5679,2017-05-11,,,
SE348,1054412,s5932,2021-12-18,,,
SE349,6109163,s5266,2023-04-14,,,
SE350,2260724,s3872,2022-06-01,,,
SE351,8715452,s3263,2023-02-22,,,
SE352,6448284,s3795,2023-04-11,,,
SE353,6933924,s5344,2023-02-04,,,
SE354,9456379,s7952,2023-04-01,,,
SE355,7969254,s4764,2023-04-14,,,
SE356,6726303,s2583,2023-04-12,,,
SE357,1672500,s8494,2020-05-17,,,
SE358,1639177,s5844,2021-02-15,,,
SE359,1845342,s521,2022-07-31,,,
SE360,3971153,s99,2020-05-27,,,
SE361,8957486,s1720,2023-04-19,,,
SE362,9380427,s8590,2023-04-15,,,
SE363,8255397,s3081,2023-03-05,,,
SE364,8511015,s505,2021-10-22,,,
SE365,9085934,s389,2021-10-08,,,
SE366,2149347,s8665,2023-04-15,,,
SE367,3538844,s2210,2023-03-13,,,
SE368,7866020,s5906,2023-03-20,,,
SE369,3414034,s2227,2023-02-03,,,
SE370,5905955,s7828,2023-01-25,,,
SE371,1288368,s6969,2023-03-20,,,
SE372,9795639,s2703,2021-02-20,,,
SE373,5686964,s1834,2023-01-25,,,
SE374,304545,s8530,2023-01-29,,,
SE375,6603067,s8059,2022-06-02,,,
SE376,1437720,s8192,2023-03-26,,,
SE377,3316902,s6832,2019-07-21,,,
SE378,9460166,s352,2022-05-09,,,
SE379,1527384,s553,2023-02-15,,,
SE380,5278705,s4633,2020-12-28,,,
SE381,1673588,s199,2023-02-24,,,
SE382,1066149,s3848,2022-02-10,,,
SE383,9450352,s2299,2022-07-20,,,
SE384,2699178,s5474,2023-04-06,,,
SE385,9280020,s511,2022-11-18,,,
SE386,9596270,s2904,2023-04-19,,,
SE387,9471735,s1923,2023-03-08,,,
SE388,7447775,s5665,2023-01-12,,,
SE389,8015020,s4385,2019-12-29,,,
SE390,1773176,s993,2022-01-23,,,
SE391,6066837,s2156,2023-02-05,,,
SE392,1844377,s556,2023-04-04,,,
SE393,7211877,s6952,2023-04-16,,,
SE394,3025712,s7746,2023-03-18,,,
SE395,7295373,s1535,2023-04-03,,,
SE396,3711542,s4822,2023-01-01,,,
SE397,5799465,s2161,2023-03-12,,,
SE398,3586334,s2706,2023-04-05,,,
SE399,8025111,s1489,2023-04-07,,,
SE400,3009258,s6822,2022-04-20,,,
SE401,2734252,s3447,2023-04-18,,,
SE402,6472419,s6336,2023-02-24,,,
SE403,6572452,s3292,2023-03-16,,,
SE404,1462003,s8140,2021-08-27,,,
SE405,4998295,s1424,2023-03-02,,,
SE406,2236653,s1319,2023-04-03,,,
SE407,7561179,s6160,2020-08-06,,,
SE408,5159385,s1981,2023-04-16,,,
SE409,5983845,s2119,2023-04-12,,,
SE410,3315751,s2179,2023-03-10,,,
SE411,8266616,s6812,2022-02-27,,,
SE412,7024909,s6504,2023-03-14,,,
SE413,4501583,s5642,2023-04-19,,,
SE414,3510214,s8152,2023-02-22,,,
SE415,2981173,s8356,2017-11-18,,,
SE416,9260569,s964,2023-02-24,,,
SE417,3709200,s859,2021-07-06,,,
SE418,3126318,s3191,2022-01-19,,,
SE419,6716626,s4905,2023-03-23,,,
SE420,3410286,s8568,2022-07-21,,,
SE421,2515277,s3596,2023-03-04,,,
SE422,524022,s2264,2023-01-14,,,
SE423,6603067,s4378,2022-05-17,,,
SE424,4370725,s2189,2022-11-20,,,
SE425,1709171,s749,2022-07-02,,,
SE426,9567721,s4914,2021-07-07,,,
SE427,7139180,s6732,2023-04-18,,,
SE428,7061341,s3512,2022-11-10,,,
SE429,5762864,s3926,2023-02-17,,,
SE430,6323682,s7992,2023-04-07,,,
SE431,135813,s7883,2023-04-19,,,
SE432,7710367,s4458,2020-07-23,,,
SE433,6978418,s4359,2021-08-17,,,
SE434,7347298,s6435,2022-09-02,,,
SE435,8848968,s6304,2023-04-16,,,
SE436,9966179,s5045,2023-02-09,,,
SE437,7022133,s7766,2023-04-15,,,
SE438,3240095,s6365,2023-04-09,,,
SE439,6911444,s1272,2023-04-01,,,
SE440,5599768,s3680,2023-04-09,,,
SE441,2118126,s5952,2019-12-08,,,
SE442,5553789,s2474,2023-03-10,,,
SE443,4979098,s3380,2023-03-22,,,
SE444,9467678,s1174,2021-04-01,,,
SE445,5211816,s6378,2021-04-22,,,
SE446,2199857,s3023,2023-04-19,,,
SE447,1212595,s6610,2023-04-11,,,
SE448,2421887,s2540,2021-01-29,,,
SE449,3674957,s1603,2022-03-19,,,
SE450,6451062,s720,2023-03-25,,,
SE451,6789312,s2786,2021-11-28,,,
SE452,4486311,s1880,2020-12-12,,,
SE453,6547152,s3734,2023-03-07,,,
SE454,1216221,s6045,2023-03-19,,,
SE455,4769378,s7629,2022-05-16,,,
SE456,5180061,s5896,2022-11-19,,,
SE457,2065766,s4222,2023-04-19,,,
SE458,2520826,s178,2023-02-24,,,
SE459,1076286,s4682,2023-03-08,,,
SE460,7897530,s4905,2023-04-16,,,
SE461,5569658,s8521,2023-04-11,,,
SE462,7742217,s6084,2023-04-10,,,
SE463,7863405,s3482,2021-01-11,,,
SE464,9307846,s4756,2022-04-08,,,
SE465,7582281,s8370,2023-02-09,,,
SE466,7152886,s4069,2023-03-21,,,
SE467,4062643,s1407,2023-04-03,,,
SE468,2279671,s6957,2019-06-02,,,
SE469,1672500,s6444,2021-05-09,,,
SE470,9544522,s7108,2023-04-20,,,
SE471,5034060,s6687,2023-02-23,,,
SE472,5222001,s5838,2022-03-10,,,
SE473,4581782,s1504,2023-04-02,,,
SE474,9421854,s5886,2023-02-18,,,
SE475,6486064,s7070,2022-09-30,,,
SE476,4654131,s7154,2022-09-12,,,
SE477,8888731,s8268,2021-04-27,,,
SE478,2644554,s3699,2023-04-07,,,
SE479,8034346,s3660,2023-03-07,,,
SE480,1351570,s872,2023-04-10,,,
SE481,5818785,s1631,2023-03-03,,,
SE482,3983634,s6991,2020-07-21,,,
SE483,1291400,s3686,2021-06-03,,,
SE484,5257528,s5613,2022-02-14,,,
SE485,2048929,s7087,2023-03-07,,,
SE486,1611897,s7937,2023-02-06,,,
SE487,6495314,s445,2021-06-18,,,
SE488,7588397,s7091,2023-04-04,,,
SE489,2712102,s6107,2021-02-27,,,
SE490,1529617,s2990,2023-04-16,,,
SE491,4481459,s4502,2023-04-19,,,
SE492,3616563,s7643,2020-04-04,,,
SE493,947868,s3958,2023-02-14,,,
SE494,4453679,s4077,2019-11-20,,,
SE495,9404271,s6837,2023-02-18,,,
SE496,583222,s7911,2018-01-14,,,
SE497,1954650,s1863,2023-03-05,,,
SE498,8977119,s4598,2020-07-02,,,
SE499,2967682,s1883,2021-06-11,,,
SE500,7440677,s2147,2023-04-12,,,
SE501,1972135,s4657,2023-04-14,,,
SE502,6163625,s6070,2023-04-15,,,
SE503,2423196,s2930,2023-04-02,,,
SE504,1223487,s7332,2023-04-15,,,
SE505,9701715,s7234,2018-08-03,,,
SE506,8341402,s3884,2022-11-09,,,
SE507,634715,s8708,2020-02-23,,,
SE508,3590065,s7266,2023-04-06,,,
SE509,6888177,s1139,2023-04-15,,,
SE510,5778524,s4850,2018-07-16,,,
SE511,5903488,s761,2023-04-04,,,
SE512,5196296,s8172,2023-03-12,,,
SE513,4884702,s6596,2022-11-28,,,
SE514,8607235,s8324,2023-02-12,,,
SE515,6716626,s4039,2023-03-02,,,
SE516,8490160,s5370,2023-03-17,,,
SE517,9435562,s4871,2022-09-30,,,
SE518,7198826,s8259,2022-06-02,,,
SE519,8463669,s5537,2021-06-27,,,
SE520,6979264,s3625,2023-02-23,,,
SE521,5880092,s7330,2023-03-30,,,
SE522,372929,s1459,2021-12-09,,,
SE523,2948632,s8087,2023-04-17,,,
SE524,1115399,s6073,2020-05-08,,,
SE525,8781300,s4048,2023-03-27,,,
SE526,2904681,s2205,2020-12-26,,,
SE527,4654131,s3136,2019-12-16,,,
SE528,6563114,s7086,2019-04-04,,,
SE529,2024405,s7945,2022-12-05,,,
SE530,499033,s8582,2022-01-09,,,
SE531,7343929,s3085,2023-03-15,,,
SE532,7189319,s7854,2023-04-12,,,
SE533,7231274,s8636,2023-03-01,,,
SE534,3025712,s5415,2023-03-23,,,
SE535,462568,s3657,2023-03-15,,,
SE536,6378725,s8627,2021-04-01,,,
SE537,2577762,s2708,2023-04-17,,,
SE538,918982,s3926,2020-03-09,,,
SE539,4048800,s1504,2022-06-16,,,
SE540,108337,s1437,2023-03-04,,,
SE541,1068947,s7069,2021-03-13,,,
SE542,156321,s6312,2023-04-16,,,
SE543,2981996,s8453,2023-02-06,,,
SE544,81415,s8175,2023-03-29,,,
SE545,2672495,s3948,2021-07-19,,,
SE546,1681614,s3350,2022-03-28,,,
SE547,3569816,s7768,2023-03-05,,,
SE548,338247,s2503,2023-04-09,,,
SE549,4000100,s2269,2020-09-28,,,
SE550,9508836,s5310,2023-03-31,,,
SE551,3524591,s3391,2023-04-08,,,
SE552,2604710,s5365,2023-03-30,,,
SE553,6259478,s7887,2023-02-07,,,
SE554,5585811,s6372,2023-02-13,,,
SE555,6242261,s2744,2023-02-05,,,
SE556,1825785,s2691,2023-04-16,,,
SE557,6072058,s6655,2023-01-02,,,
SE558,3004494,s2256,2023-04-07,,,
SE559,1748787,s1311,2023-02-16,,,
SE560,8579069,s8739,2022-06-09,,,
SE561,5325495,s101,2021-12-05,,,
SE562,9182262,s7435,2023-04-13,,,
SE563,7852874,s1301,2023-03-19,,,
SE564,2839253,s1758,2023-04-12,,,
SE565,9531260,s8261,2023-04-07,,,
SE566,4217620,s6458,2023-02-19,,,
SE567,4027795,s3217,2023-04-09,,,
SE568,8218490,s1781,2023-03-27,,,
SE569,7333558,s1452,2023-03-08,,,
SE570,1542583,s1423,2023-03-06,,,
SE571,7584243,s5550,2023-04-08,,,
SE572,1249237,s3570,2023-04-06,,,
SE573,2830944,s5137,2023-04-20,,,
SE574,9274810,s4465,2023-03-25,,,
SE575,2288498,s3345,2023-04-13,,,
SE576,8171520,s2532,2023-04-08,,,
SE577,5018658,s6370,2020-11-20,,,
SE578,1980156,s2213,2023-04-13,,,
SE579,3590132,s2,2023-02-04,,,
SE580,5045920,s597,2023-02-28,,,
SE581,6574388,s5060,2022-08-05,,,
SE582,595971,s460,2023-04-19,,,
SE583,5553789,s5564,2020-04-11,,,
SE584,3038079,s6073,2023-04-17,,,
SE585,8285478,s6517,2023-04-08,,,
SE586,8415503,s5978,2023-03-16,,,
SE587,398781,s6278,2023-04-15,,,
SE588,8246299,s5098,2022-10-27,,,
SE589,7095344,s6024,2023-04-14,,,
SE590,3973238,s2272,2023-02-21,,,
SE591,9496480,s5386,2023-04-07,,,
SE592,1683318,s2692,2023-04-17,,,
SE593,4714937,s5493,2022-05-05,,,
SE594,7719962,s4822,2023-04-16,,,
SE595,8648842,s1552,2022-05-13,,,
SE596,9211096,s6664,2023-03-22,,,
SE597,5207947,s2852,2021-03-03,,,
SE598,7050127,s3258,2022-08-27,,,
SE599,4439691,s4291,2023-03-17,,,
SE600,1810664,s8470,2023-04-17,,,
SE601,1972135,s91,2023-04-13,,,
SE602,3156453,s7044,2023-04-10,,,
SE603,2245923,s8237,2021-08-28,,,
SE604,1882543,s6859,2023-04-17,,,
SE605,589344,s3623,2023-04-08,,,
SE606,3640688,s7611,2023-04-07,,,
SE607,6291595,s7951,2021-03-08,,,
SE608,591702,s5129,2023-04-18,,,
SE609,5278705,s378,2023-04-19,,,
SE610,169649,s4615,2021-09-14,,,
SE611,9482881,s3846,2023-02-12,,,
SE612,1254142,s5956,2023-03-26,,,
SE613,1202246,s3724,2023-04-13,,,
SE614,7460756,s2897,2023-03-31,,,
SE615,9695484,s7542,2023-04-06,,,
SE616,4388783,s964,2020-11-18,,,
SE617,6282154,s7842,2023-01-21,,,
SE618,7099238,s8414,2023-04-09,,,
SE619,3203751,s7760,2023-01-29,,,
SE620,8298845,s7039,2023-03-19,,,
SE621,5158649,s1975,2021-09-30,,,
SE622,7615047,s7365,2022-08-16,,,
SE623,8464141,s7310,2022-08-22,,,
SE624,5758825,s7942,2023-04-13,,,
SE625,9763101,s1073,2023-01-19,,,
SE626,8515134,s2375,2021-10-18,,,
SE627,2692570,s2260,2022-12-07,,,
SE628,8674032,s3536,2023-03-04,,,
SE629,9213558,s3746,2023-03-06,,,
SE630,3277334,s8550,2021-04-29,,,
SE631,3277211,s1214,2023-04-19,,,
SE632,8134571,s2766,2023-02-19,,,
SE633,596262,s5507,2023-03-05,,,
SE634,6808797,s3354,2023-04-06,,,
SE635,6679748,s6323,2023-04-11,,,
SE636,940575,s7966,2022-04-04,,,
SE637,4171578,s4503,2023-01-10,,,
SE638,74575,s5786,2023-04-04,,,
SE639,5661884,s481,2023-02-28,,,
SE640,2029173,s8579,2022-02-21,,,
SE641,1216221,s444,2023-04-19,,,
SE642,6035326,s1966,2021-02-25,,,
SE643,3993855,s2211,2021-10-02,,,
SE644,4878107,s1647,2023-03-25,,,
SE645,8662706,s3713,2023-03-24,,,
SE646,2580765,s7522,2023-03-21,,,
